workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,age_group,class
Private,13.0,Married-civ-spouse,Sales,Husband,Other,Male,0.0,0.0,40.0,Puerto-Rico,Adult,0
Private,14.0,Divorced,Other-service,Not-in-family,Other,Female,0.0,0.0,30.0,United-States,Adult,0
Private,12.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,Young,0
Private,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,Young,0
Federal-gov,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,7688.0,0.0,50.0,United-States,Middle-Aged,1
Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,45.0,United-States,Adult,1
Private,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
State-gov,10.0,Never-married,Protective-serv,Not-in-family,Other,Female,99999.0,0.0,40.0,United-States,Young,1
Private,4.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1797.0,0.0,15.0,United-States,Senior,0
Federal-gov,14.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,1
Federal-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,13.0,Never-married,Exec-managerial,Other-relative,White,Female,0.0,0.0,25.0,United-States,Adult,0
Federal-gov,13.0,Married-civ-spouse,Tech-support,Husband,Black,Male,7688.0,0.0,40.0,United-States,Middle-Aged,1
Self-emp-not-inc,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,Senior,0
Local-gov,12.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,99.0,United-States,Adult,1
Private,13.0,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,36.0,Philippines,Middle-Aged,1
Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,55.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1887.0,50.0,United-States,Adult,1
Federal-gov,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,Poland,Adult,1
Self-emp-inc,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,Adult,1
Private,7.0,Never-married,Other-service,Own-child,Other,Male,0.0,0.0,40.0,United-States,Adult,0
Private,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,Middle-Aged,0
Self-emp-not-inc,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,99.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,Adult,0
Private,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,1902.0,40.0,United-States,Adult,1
Local-gov,8.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,Middle-Aged,1
Private,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Widowed,Sales,Unmarried,White,Female,0.0,0.0,25.0,Mexico,Middle-Aged,0
Private,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,24.0,United-States,Senior,0
Private,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,4416.0,0.0,30.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,72.0,United-States,Adult,1
Private,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,48.0,United-States,Young,0
Private,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,Middle-Aged,1
Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,12.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,20.0,United-States,Adult,0
Private,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,19.0,United-States,Young,0
Private,6.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,Young,0
Federal-gov,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,2174.0,0.0,40.0,United-States,Young,0
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,65.0,United-States,Middle-Aged,1
Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,Adult,0
Self-emp-not-inc,10.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,30.0,United-States,Young,0
Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,Middle-Aged,1
State-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,20.0,United-States,Young,0
Private,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,5.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,Young,0
Self-emp-not-inc,9.0,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,32.0,United-States,Adult,0
Local-gov,9.0,Married-civ-spouse,Other-service,Other-relative,White,Male,3137.0,0.0,40.0,United-States,Adult,0
Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,12.0,Married-civ-spouse,Tech-support,Wife,Black,Female,0.0,0.0,40.0,United-States,Adult,0
Private,10.0,Never-married,Tech-support,Own-child,Black,Male,0.0,0.0,24.0,United-States,Adult,0
Local-gov,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Self-emp-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,1
Private,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,45.0,United-States,Middle-Aged,1
Private,9.0,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,Adult,0
Private,6.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,16.0,United-States,Young,0
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,Middle-Aged,0
Private,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,Young,0
Private,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,28.0,United-States,Adult,0
Local-gov,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,Middle-Aged,1
Private,9.0,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,Adult,0
Private,5.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Mexico,Adult,0
Private,6.0,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,25.0,United-States,Adult,0
Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,45.0,United-States,Middle-Aged,1
Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Young,0
Private,4.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,48.0,United-States,Middle-Aged,0
Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
State-gov,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,55.0,United-States,Adult,1
Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,1
Private,10.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,50.0,United-States,Adult,0
Federal-gov,2.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,Puerto-Rico,Middle-Aged,0
Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,60.0,Ireland,Adult,1
Private,15.0,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,Adult,0
Private,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,1
Private,10.0,Never-married,Sales,Unmarried,White,Male,0.0,0.0,35.0,United-States,Adult,0
Private,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,Young,0
Private,9.0,Never-married,Other-service,Not-in-family,White,Male,10520.0,0.0,40.0,Puerto-Rico,Adult,1
Private,11.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,7.0,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,Adult,0
Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40.0,Canada,Adult,1
Self-emp-inc,16.0,Separated,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,1
Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Self-emp-not-inc,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,Cuba,Middle-Aged,0
Private,10.0,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,25.0,United-States,Young,0
Private,8.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,20.0,United-States,Young,0
Private,10.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,32.0,United-States,Middle-Aged,0
Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,14.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,25.0,United-States,Young,0
Private,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,13.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,36.0,United-States,Adult,0
Private,7.0,Separated,Machine-op-inspct,Not-in-family,Black,Male,0.0,0.0,36.0,United-States,Adult,0
Private,9.0,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,40.0,Japan,Adult,0
Private,9.0,Widowed,Sales,Unmarried,White,Female,0.0,0.0,32.0,United-States,Middle-Aged,0
Local-gov,6.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,25.0,United-States,Middle-Aged,0
Private,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103.0,0.0,50.0,United-States,Adult,1
Private,3.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,El-Salvador,Middle-Aged,0
Private,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,Middle-Aged,0
Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,99999.0,0.0,50.0,United-States,Middle-Aged,1
Self-emp-not-inc,10.0,Widowed,Craft-repair,Not-in-family,White,Female,0.0,0.0,35.0,United-States,Senior,0
Federal-gov,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,Young,0
Self-emp-not-inc,13.0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,1
Self-emp-not-inc,4.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,Senior,0
Private,14.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,48.0,India,Adult,0
Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,2829.0,0.0,65.0,United-States,Adult,0
Local-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Separated,Other-service,Unmarried,Black,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,1
State-gov,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,38.0,United-States,Middle-Aged,0
Private,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,Adult,1
State-gov,9.0,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,Adult,0
Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,32.0,United-States,Middle-Aged,0
Local-gov,14.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,60.0,United-States,Young,0
Private,16.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,Middle-Aged,1
Private,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,42.0,United-States,Adult,0
Private,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1977.0,50.0,Germany,Middle-Aged,1
Private,7.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50.0,United-States,Adult,0
Local-gov,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,1
Private,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,80.0,United-States,Adult,1
Private,7.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Young,0
State-gov,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,6.0,United-States,Young,0
Federal-gov,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Divorced,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,Adult,0
Self-emp-not-inc,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,United-States,Middle-Aged,0
Private,9.0,Never-married,Handlers-cleaners,Own-child,Black,Female,0.0,0.0,35.0,United-States,Adult,0
Private,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,70.0,United-States,Adult,0
Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,1
Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,Adult,0
Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,1
Self-emp-not-inc,4.0,Widowed,Farming-fishing,Not-in-family,White,Male,0.0,0.0,5.0,United-States,Senior,0
Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,17.0,United-States,Adult,1
State-gov,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,37.0,United-States,Middle-Aged,0
Local-gov,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,Middle-Aged,1
Private,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Separated,Transport-moving,Own-child,White,Female,0.0,0.0,17.0,United-States,Adult,0
Private,3.0,Separated,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,Mexico,Middle-Aged,0
Private,13.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,20.0,United-States,Adult,0
Private,10.0,Never-married,Tech-support,Not-in-family,Black,Male,0.0,0.0,40.0,Philippines,Adult,0
Private,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,24.0,United-States,Adult,0
Private,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,1762.0,40.0,United-States,Young,0
Private,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Young,0
Private,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,48.0,United-States,Adult,0
Local-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,Adult,1
Local-gov,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,United-States,Adult,0
Private,9.0,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,40.0,United-States,Adult,0
Self-emp-not-inc,13.0,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,8.0,South,Adult,0
Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
State-gov,14.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,30.0,Japan,Adult,0
Local-gov,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,Adult,0
Local-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,20.0,United-States,Adult,0
Private,13.0,Never-married,Sales,Not-in-family,White,Female,0.0,1590.0,40.0,United-States,Adult,0
Private,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Taiwan,Adult,0
Private,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,37.0,Puerto-Rico,Middle-Aged,0
Private,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,30.0,United-States,Middle-Aged,0
Private,12.0,Divorced,Prof-specialty,Unmarried,White,Female,8614.0,0.0,40.0,United-States,Adult,1
Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,25.0,United-States,Young,0
Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,7298.0,0.0,48.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,Middle-Aged,1
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,Senior,0
Local-gov,10.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,55.0,United-States,Middle-Aged,1
Local-gov,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,4386.0,0.0,45.0,United-States,Middle-Aged,1
State-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,48.0,United-States,Adult,0
Local-gov,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,42.0,United-States,Adult,0
Private,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,70.0,United-States,Young,0
Local-gov,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,Middle-Aged,0
Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40.0,United-States,Adult,1
Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,1
Private,9.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,Adult,0
Private,11.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,38.0,United-States,Middle-Aged,0
Self-emp-not-inc,11.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,United-States,Adult,0
Private,12.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Local-gov,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,45.0,United-States,Young,0
Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,40.0,United-States,Middle-Aged,1
Private,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,10.0,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,Adult,0
Private,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,25.0,United-States,Young,0
Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,35.0,United-States,Senior,0
Private,6.0,Never-married,Other-service,Own-child,White,Female,0.0,1602.0,18.0,United-States,Young,0
Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55.0,United-States,Middle-Aged,0
Private,13.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,Middle-Aged,0
Private,7.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Self-emp-inc,12.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,3103.0,0.0,70.0,United-States,Adult,1
Federal-gov,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,48.0,United-States,Middle-Aged,0
Self-emp-inc,6.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,80.0,United-States,Middle-Aged,0
Self-emp-not-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,72.0,United-States,Middle-Aged,0
Federal-gov,10.0,Married-civ-spouse,Tech-support,Wife,White,Female,4064.0,0.0,40.0,United-States,Adult,0
Private,6.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,Young,0
Private,13.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,40.0,United-States,Adult,1
Private,4.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Senior,0
Private,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Self-emp-not-inc,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7688.0,0.0,60.0,United-States,Young,1
Federal-gov,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,45.0,United-States,Adult,0
Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,40.0,United-States,Middle-Aged,1
Private,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,Adult,1
Private,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,Adult,0
Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,Adult,1
